dia;cantidad
22/01/2023;0
23/01/2023;14
24/01/2023;6
25/01/2023;9
26/01/2023;0
27/01/2023;20
28/01/2023;0
29/01/2023;0
30/01/2023;6
31/01/2023;3
1/02/2023;36
2/02/2023;7
3/02/2023;3
4/02/2023;0
5/02/2023;0
6/02/2023;0
7/02/2023;12
8/02/2023;14
9/02/2023;3
10/02/2023;9
11/02/2023;0
12/02/2023;0
13/02/2023;12
14/02/2023;8
15/02/2023;0
16/02/2023;54
17/02/2023;2
18/02/2023;0
19/02/2023;0
20/02/2023;0
21/02/2023;0
22/02/2023;8
23/02/2023;2
24/02/2023;1
25/02/2023;0
26/02/2023;0
27/02/2023;6
28/02/2023;17
1/03/2023;49
2/03/2023;15
3/03/2023;9
4/03/2023;0
5/03/2023;0
6/03/2023;13
7/03/2023;0
8/03/2023;6
9/03/2023;9
10/03/2023;19
11/03/2023;0
12/03/2023;0
13/03/2023;25
14/03/2023;21
15/03/2023;40
16/03/2023;3
17/03/2023;9
18/03/2023;0
19/03/2023;0
20/03/2023;0
21/03/2023;14
22/03/2023;6
23/03/2023;3
24/03/2023;0
25/03/2023;0
26/03/2023;0
27/03/2023;5
28/03/2023;0
29/03/2023;9
30/03/2023;18
31/03/2023;25
